file,instance,method,obj,route,time,congestion,elapsed time,evaluated solutions
config_{12-03-03}_{06-06}_01_decomposedNeighborhoodSearch_20250831T092556550.log,{12-03-03}_{06-06}_01,decomposedNeighborhoodSearch,1208.55813075,756.85,451.71,0.00,3600.93,1
config_{12-03-03}_{06-06}_01_decomposedRandom_20250831T095457113.log,{12-03-03}_{06-06}_01,decomposedRandom,1208.55813075,756.85,451.71,0.00,3600.37,1
config_{12-03-03}_{06-06}_01_localRefinement_20250831T211036422.log,{12-03-03}_{06-06}_01,localRefinement,1208.55813075,756.85,451.71,0.00,3600.33,1
config_{12-03-03}_{06-06}_02_decomposedNeighborhoodSearch_20250831T094136899.log,{12-03-03}_{06-06}_02,decomposedNeighborhoodSearch,1375.20956692,766.26,608.95,0.00,247.29,1
config_{12-03-03}_{06-06}_02_decomposedRandom_20250831T101236330.log,{12-03-03}_{06-06}_02,decomposedRandom,1375.20956692,766.26,608.95,0.00,187.14,1
config_{12-03-03}_{06-06}_02_localRefinement_20250831T221034460.log,{12-03-03}_{06-06}_02,localRefinement,1375.20956692,766.26,608.95,0.00,195.00,1
config_{12-03-03}_{06-06}_03_decomposedNeighborhoodSearch_20250831T102424559.log,{12-03-03}_{06-06}_03,decomposedNeighborhoodSearch,1203.52692695,737.64,465.89,0.00,352.94,1
config_{12-03-03}_{06-06}_03_decomposedRandom_20250831T103842266.log,{12-03-03}_{06-06}_03,decomposedRandom,1203.52692695,737.64,465.89,0.00,257.75,1
config_{12-03-03}_{06-06}_03_localRefinement_20250831T221034708.log,{12-03-03}_{06-06}_03,localRefinement,1203.52692695,737.64,465.89,0.00,191.40,1
config_{12-03-03}_{06-06}_04_decomposedNeighborhoodSearch_20250831T102502073.log,{12-03-03}_{06-06}_04,decomposedNeighborhoodSearch,1255.04357965,771.06,483.98,0.00,270.94,1
config_{12-03-03}_{06-06}_04_decomposedRandom_20250831T104559552.log,{12-03-03}_{06-06}_04,decomposedRandom,1255.04357965,771.06,483.98,0.00,239.31,1
config_{12-03-03}_{06-06}_04_localRefinement_20250831T221037346.log,{12-03-03}_{06-06}_04,localRefinement,1255.04357965,771.06,483.98,0.00,166.40,1
config_{12-03-03}_{06-06}_05_decomposedNeighborhoodSearch_20250831T102558647.log,{12-03-03}_{06-06}_05,decomposedNeighborhoodSearch,1298.88216583,777.39,521.49,0.00,369.49,1
config_{12-03-03}_{06-06}_05_decomposedRandom_20250831T105458159.log,{12-03-03}_{06-06}_05,decomposedRandom,1298.88216583,777.39,521.49,0.00,304.60,1
config_{12-03-03}_{06-06}_05_localRefinement_20250831T221039729.log,{12-03-03}_{06-06}_05,localRefinement,1298.88216583,777.39,521.49,0.00,218.96,1
config_{16-04-04}_{06-08}_01_decomposedNeighborhoodSearch_20250831T104138371.log,{16-04-04}_{06-08}_01,decomposedNeighborhoodSearch,1877.11863879,1226.58,650.54,0.00,1071.42,1
